COD,Horário Inicial,Horário final,TEMPO,TEMPO (MIN),TEMPO(ROT),Qtd peças conformes,Qtd peças não conformes,Observações,Data,Turno,Digitador
108,11:40,12:50,01:10:00,70,#N/A,,,,28/1/2020,T1,Willian Zomer
SA.,12:50,13:30,00:40:00,40,#N/A,1,,Frontal Premium,28/1/2020,T1,Willian Zomer
2047860,13:30,15:00,01:30:00,90,47,1,,,28/1/2020,T1,Willian Zomer
2050430,15:10,16:00,00:50:00,50,12,1,,,28/1/2020,T1,Willian Zomer
192,16:00,16:30,00:30:00,30,#N/A,,,Montagem Barrote,28/1/2020,T1,Willian Zomer
192,17:05,18:12,01:07:00,67,#N/A,,,,28/1/2020,T2,Willian Zomer
2050640,18:13,19:10,00:57:00,57,30,2,,Fueiro Malhal,28/1/2020,T2,Willian Zomer
192,19:10,19:42,00:32:00,32,#N/A,,,,28/1/2020,T2,Willian Zomer
2050640,19:43,20:30,00:47:00,47,30,2,,Fueiro Malhal,28/1/2020,T2,Willian Zomer
180,20:30,21:30,01:00:00,60,#N/A,,,,28/1/2020,T2,Willian Zomer
192,21:30,22:50,01:20:00,80,#N/A,,,Frontal / Fueiro Malhal,28/1/2020,T2,Willian Zomer
2050430,22:50,23:10,00:20:00,20,12,1,,Frontal,28/1/2020,T2,Willian Zomer
2050640,23:11,00:04,00:53:00,53,30,2,,Fueiro Malhal,28/1/2020,T2,Willian Zomer
130,00:05,00:39,00:34:00,34,#N/A,,,,28/1/2020,T2,Willian Zomer
192,00:40,00:51,00:11:00,11,#N/A,,,,28/1/2020,T2,Willian Zomer
2050430,00:51,01:13,00:22:00,22,12,1,,Frontal,28/1/2020,T2,Willian Zomer
181,01:14,01:50,00:36:00,36,#N/A,1,,Fueiro Malhal,28/1/2020,T2,Willian Zomer
120,01:50,02:20,00:30:00,30,#N/A,,,,28/1/2020,T2,Willian Zomer
2050643,07:00,08:45,01:45:00,105,60,4,,Fueiro Malhal,29/1/2020,T1,Willian Zomer
192,08:45,09:10,00:25:00,25,#N/A,,,Regulagem dos Pontos,29/1/2020,T1,Willian Zomer
2049980,09:10,09:50,00:40:00,40,12,1,,Tampa Inf,29/1/2020,T1,Willian Zomer
192,09:50,10:15,00:25:00,25,#N/A,,,Tampa Inf,29/1/2020,T1,Willian Zomer
